event_id,n_documents,n_filings,n_amendment_filings,n_initial_filings,has_amendment,forms,form_families,primary_form_family,entity_names,primary_entity,ciks,primary_cik,tickers,first_file_date,last_file_date,event_span_days,n_exhibits,n_primary_docs
001-32324,2,2,0,2,False,['8-K'],['current_report'],current_report,['CubeSmart'],CubeSmart,['0001298675' '0001300485'],0001298675,['CUBE'],2023-05-08,2024-05-06,364,2,0
001-32335,47,33,1,32,True,['8-K' '8-K/A'],['current_report' 'other'],mixed,"['HALOZYME THERAPEUTICS, INC.']","HALOZYME THERAPEUTICS, INC.",['0001159036'],0001159036,['HALO'],2020-01-14,2025-11-12,2129,37,10
001-32336,4,4,0,4,False,['8-K'],['current_report'],current_report,"['DIGITAL REALTY TRUST, INC.']","DIGITAL REALTY TRUST, INC.",['0001297996'],0001297996,['DLR' 'DLR-PJ' 'DLR-PK' 'DLR-PL'],2021-07-29,2025-10-23,1547,4,0
001-32347,21,15,0,15,False,['8-K'],['current_report'],current_report,"['ORMAT TECHNOLOGIES, INC.']","ORMAT TECHNOLOGIES, INC.",['0001296445'],0001296445,['ORA'],2022-06-27,2025-05-08,1046,19,2
001-32349,2,1,0,1,False,['8-K'],['current_report'],current_report,['SIGNET JEWELERS LTD'],SIGNET JEWELERS LTD,['0000832988'],0000832988,['SIG'],2024-04-03,2024-04-03,0,1,1
001-32358,1,1,0,1,False,['8-K'],['current_report'],current_report,"['Spok Holdings, Inc']","Spok Holdings, Inc",['0001289945'],0001289945,['SPOK'],2021-09-03,2021-09-03,0,1,0
001-32362,2,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,['OTELCO INC.'],OTELCO INC.,['0001288359'],0001288359,[],2020-08-20,2020-09-09,20,0,2
001-32375,1,1,0,1,False,['8-K'],['current_report'],current_report,"['Comstock Holding Companies, Inc.']","Comstock Holding Companies, Inc.",['0001299969'],0001299969,['CHCI'],2025-03-28,2025-03-28,0,1,0
001-32379,3,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,['Sotherly Hotels Inc.'],Sotherly Hotels Inc.,['0001301236'],0001301236,['SOHO' 'SOHOB' 'SOHON' 'SOHOO'],2025-12-01,2025-12-12,11,1,2
001-32381,47,39,0,39,False,['8-K'],['current_report'],current_report,['HERBALIFE NUTRITION LTD.' 'HERBALIFE LTD.'],HERBALIFE NUTRITION LTD.,['0001180262'],0001180262,['HLF'],2020-02-18,2025-11-05,2087,43,4
001-32384,14,14,0,14,False,['425' '8-K' 'DEFM14A' 'PREM14A'],['business_combination_comms' 'current_report' 'merger_proxy'],mixed,['Macquarie Infrastructure Corp'],Macquarie Infrastructure Corp,['0001289790' '0001845290'],0001289790,[],2020-02-25,2021-08-23,545,8,6
001-32401,15,9,0,9,False,['8-K' 'DEFM14A' 'PREM14A'],['current_report' 'merger_proxy'],mixed,"['Manitex International, Inc.']","Manitex International, Inc.",['0001302028'],0001302028,['MNTX'],2020-03-09,2024-11-20,1717,13,2
001-32404,14,6,0,6,False,['8-K'],['current_report'],current_report,"['POLARITYTE, INC.']","POLARITYTE, INC.",['0001076682'],0001076682,['RGTPQ'],2020-02-14,2022-06-08,845,13,1
001-32407,3,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,"['ARC DOCUMENT SOLUTIONS, INC.']","ARC DOCUMENT SOLUTIONS, INC.",['0001305168'],0001305168,['ARC'],2024-09-11,2024-10-16,35,1,2
001-32414,1,1,0,1,False,['8-K'],['current_report'],current_report,['W&T OFFSHORE INC'],W&T OFFSHORE INC,['0001288403'],0001288403,['WTI'],2023-06-20,2023-06-20,0,1,0
001-32420,2,2,0,2,False,['8-K'],['current_report'],current_report,"[""Charlie's Holdings, Inc.""]","Charlie's Holdings, Inc.",['0001134765'],0001134765,['CHUC'],2021-06-16,2023-04-04,657,1,1
001-32426,47,36,0,36,False,['8-K'],['current_report'],current_report,['WEX Inc.'],WEX Inc.,['0001309108'],0001309108,['WEX'],2020-06-29,2025-10-29,1948,44,3
001-32442,15,9,0,9,False,['425' '8-K'],['business_combination_comms' 'current_report'],mixed,"['Inuvo, Inc.']","Inuvo, Inc.",['0000829323'],0000829323,['INUV'],2020-03-26,2023-05-25,1155,13,2
001-32462,18,12,0,12,False,['8-K' 'DEFM14A' 'PREM14A'],['current_report' 'merger_proxy'],mixed,['PNM RESOURCES INC' 'TXNM ENERGY INC'],PNM RESOURCES INC,['0000022767' '0001108426'],0000022767,['TXNM'],2020-12-18,2025-12-10,1818,9,9
001-32472,8,6,1,5,True,['8-K' '8-K/A' 'DEFM14A' 'PREM14A'],['current_report' 'merger_proxy' 'other'],mixed,['DAWSON GEOPHYSICAL CO'],DAWSON GEOPHYSICAL CO,['0000799165'],0000799165,['DWSN'],2021-04-08,2023-09-19,894,3,5
001-32491,20,11,0,11,False,['425' 'DEFM14A'],['business_combination_comms' 'merger_proxy'],mixed,['COFFEE HOLDING CO INC'],COFFEE HOLDING CO INC,['0001007019'],0001007019,['JVA'],2022-09-30,2024-04-02,550,10,10
001-32501,42,25,1,24,True,['8-K' '8-K/A'],['current_report' 'other'],mixed,"[""REED'S, INC.""]","REED'S, INC.",['0001140215'],0001140215,['REED'],2020-12-16,2025-11-04,1784,31,11
001-32502,4,4,0,4,False,['8-K'],['current_report'],current_report,['Warner Music Group Corp.'],Warner Music Group Corp.,['0001319161'],0001319161,['WMG'],2021-01-20,2024-09-17,1336,4,0
001-32504,3,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,"['TreeHouse Foods, Inc.']","TreeHouse Foods, Inc.",['0001320695'],0001320695,['THS'],2025-12-17,2025-12-29,12,1,2
001-32508,113,45,0,45,False,['425' '8-K'],['business_combination_comms' 'current_report'],mixed,"['CAMBER ENERGY, INC.']","CAMBER ENERGY, INC.",['0001309082'],0001309082,['CEIN'],2020-01-03,2025-04-08,1922,79,34
001-32513,16,12,0,12,False,['8-K'],['current_report'],current_report,['DYADIC INTERNATIONAL INC'],DYADIC INTERNATIONAL INC,['0001213809'],0001213809,['DYAI'],2024-03-11,2025-12-29,658,12,4
001-32518,8,4,0,4,False,['8-K'],['current_report'],current_report,"['Nuo Therapeutics, Inc.']","Nuo Therapeutics, Inc.",['0001091596'],0001091596,['AURX'],2020-03-30,2022-08-30,883,5,3
001-32535,8,8,0,8,False,['425'],['business_combination_comms'],business_combination_comms,['BANCOLOMBIA SA'],BANCOLOMBIA SA,['0001071371'],0001071371,['CIB'],2024-10-29,2025-03-31,153,0,8
001-32590,4,4,0,4,False,['425' 'DEFM14A'],['business_combination_comms' 'merger_proxy'],mixed,['Community Bankers Trust Corp'],Community Bankers Trust Corp,['0000729986' '0001323648'],0000729986,[],2021-06-03,2021-10-26,145,0,4
001-32591,5,5,0,5,False,['425'],['business_combination_comms'],business_combination_comms,['Seaspan CORP'],Seaspan CORP,['0001332639'],0001332639,[],2020-01-14,2020-02-26,43,0,5
001-32593,1,1,0,1,False,['8-K'],['current_report'],current_report,['GLOBAL PARTNERS LP'],GLOBAL PARTNERS LP,['0001323468'],0001323468,['GLP' 'GLP-PB'],2021-03-24,2021-03-24,0,1,0
001-32597,8,8,0,8,False,['8-K'],['current_report'],current_report,"['CF Industries Holdings, Inc.']","CF Industries Holdings, Inc.",['0001324404'],0001324404,['CF'],2022-11-02,2025-05-07,917,8,0
001-32598,20,11,0,11,False,['425' '8-K'],['business_combination_comms' 'current_report'],mixed,['ENTEGRIS INC'],ENTEGRIS INC,['0001101302'],0001101302,['ENTG'],2021-12-15,2024-03-28,834,13,7
001-32600,1,1,0,1,False,['8-K'],['current_report'],current_report,['TUCOWS INC /PA/'],TUCOWS INC /PA/,['0000909494'],0000909494,['TCX'],2025-12-05,2025-12-05,0,0,1
001-32601,17,8,0,8,False,['8-K'],['current_report'],current_report,"['Live Nation Entertainment, Inc.']","Live Nation Entertainment, Inc.",['0001335258'],0001335258,['LYV'],2020-02-03,2025-10-10,2076,11,6
001-32622,27,15,0,15,False,['425' 'DEFM14A' 'PREM14A'],['business_combination_comms' 'merger_proxy'],mixed,['Everi Holdings Inc.'],Everi Holdings Inc.,['0001318568'],0001318568,['EVRI'],2024-02-29,2024-10-04,218,12,15
001-32634,3,2,0,2,False,['8-K'],['current_report'],current_report,"['MobileSmith, Inc.']","MobileSmith, Inc.",['0001113513'],0001113513,[],2020-05-06,2020-12-31,239,2,1
001-32637,16,6,0,6,False,['8-K'],['current_report'],current_report,['GameStop Corp.'],GameStop Corp.,['0001326380'],0001326380,['GME'],2020-03-26,2025-10-07,2021,11,5
001-32641,36,23,0,23,False,['8-K'],['current_report'],current_report,['Brookdale Senior Living Inc.'],Brookdale Senior Living Inc.,['0001332349'],0001332349,['BKD' 'BKDT'],2021-09-27,2025-11-06,1501,32,4
001-32644,1,1,0,1,False,['8-K'],['current_report'],current_report,['BK Technologies Corp'],BK Technologies Corp,['0000002186'],0000002186,['BKTI'],2021-06-09,2021-06-09,0,1,0
001-32657,18,14,0,14,False,['425' '8-K'],['business_combination_comms' 'current_report'],mixed,['NABORS INDUSTRIES LTD'],NABORS INDUSTRIES LTD,['0001163739'],0001163739,['NBR' 'NBRWF'],2020-05-06,2025-10-28,2001,11,7
001-32663,7,7,0,7,False,['8-K'],['current_report'],current_report,"['Clear Channel Outdoor Holdings, Inc.']","Clear Channel Outdoor Holdings, Inc.",['0001334978'],0001334978,['CCO'],2020-05-19,2025-06-12,1850,7,0
001-32698,15,7,0,7,False,['8-K'],['current_report'],current_report,"['MGT CAPITAL INVESTMENTS, INC.']","MGT CAPITAL INVESTMENTS, INC.",['0001001601'],0001001601,['MGTI'],2020-12-14,2025-09-26,1747,13,2
001-32729,24,24,0,24,False,['425' 'DEFM14A'],['business_combination_comms' 'merger_proxy'],mixed,['POTLATCHDELTIC CORP'],POTLATCHDELTIC CORP,['0000052827' '0001338749' '0001341141'],0000052827,['PCH'],2022-09-06,2025-12-23,1204,0,24
001-32733,23,19,0,19,False,['8-K'],['current_report'],current_report,['Exantas Capital Corp.' 'ACRES Commercial Realty Corp.'],Exantas Capital Corp.,['0001332551'],0001332551,['ACR' 'ACR-PC' 'ACR-PD'],2020-03-04,2022-11-18,989,19,4
001-32737,6,6,0,6,False,['8-K'],['current_report'],current_report,['Koppers Holdings Inc.'],Koppers Holdings Inc.,['0001315257'],0001315257,['KOP'],2022-06-21,2025-06-18,1093,6,0
001-32740,3,2,0,2,False,['425' '8-K'],['business_combination_comms' 'current_report'],mixed,['Energy Transfer LP'],Energy Transfer LP,['0001276187'],0001276187,['ET' 'ET-PI'],2021-03-05,2023-11-06,976,2,1
001-32749,4,4,0,4,False,['425'],['business_combination_comms'],business_combination_comms,['Fresenius Medical Care AG & Co. KGaA'],Fresenius Medical Care AG & Co. KGaA,['0001333141'],0001333141,['FMCQF' 'FMS'],2023-02-21,2023-06-05,104,0,4
001-32839,32,23,1,22,True,['8-K' '8-K/A' 'DEFM14A' 'PREM14A'],['current_report' 'merger_proxy' 'other'],mixed,"['Avid Bioservices, Inc.']","Avid Bioservices, Inc.",['0000704562'],0000704562,['CDMO'],2021-03-12,2025-02-05,1426,26,6
001-32845,1,1,0,1,False,['8-K'],['current_report'],current_report,['General Finance CORP'],General Finance CORP,['0001342287'],0001342287,[],2020-06-25,2020-06-25,0,1,0
001-32846,3,2,0,2,False,['8-K'],['current_report'],current_report,['CRH PUBLIC LTD CO'],CRH PUBLIC LTD CO,['0000849395'],0000849395,['CRH'],2024-05-21,2025-05-09,353,3,0
001-32853,7,4,0,4,False,['8-K'],['current_report'],current_report,['Duke Energy CORP'],Duke Energy CORP,"['0000017797' '0000020290' '0000030371' '0000037637' '0000078460'
 '0000081020' '0001326160']",0000017797,['DUK' 'DUK-PA' 'DUKB' 'DUKH'],2023-04-03,2024-08-22,507,4,3
001-32871,1,1,0,1,False,['8-K'],['current_report'],current_report,['COMCAST CORP'],COMCAST CORP,['0001166691'],0001166691,['CCZ' 'CMCSA'],2025-12-15,2025-12-15,0,1,0
001-32887,27,23,0,23,False,['8-K' 'DEFM14A' 'PREM14A'],['current_report' 'merger_proxy'],mixed,['VONAGE HOLDINGS CORP'],VONAGE HOLDINGS CORP,['0001272830'],0001272830,[],2020-02-18,2022-07-21,884,17,10
001-32891,6,6,0,6,False,['425' 'DEFM14A'],['business_combination_comms' 'merger_proxy'],mixed,['Hanesbrands Inc.'],Hanesbrands Inc.,['0001061894' '0001359841'],0001061894,['HBI'],2025-08-13,2025-11-18,97,0,6
001-32895,19,19,0,19,False,['425'],['business_combination_comms'],business_combination_comms,['OBSIDIAN ENERGY LTD.'],OBSIDIAN ENERGY LTD.,['0001334388'],0001334388,['OBE'],2020-08-31,2021-01-28,150,0,19
001-32898,8,4,0,4,False,['8-K'],['current_report'],current_report,"['CBAK Energy Technology, Inc.']","CBAK Energy Technology, Inc.",['0001117171'],0001117171,['CBAT'],2020-01-06,2021-02-09,400,7,1
001-32919,38,22,0,22,False,['8-K'],['current_report'],current_report,"['Ascent Solar Technologies, Inc.']","Ascent Solar Technologies, Inc.",['0001350102'],0001350102,['ASTI'],2020-06-22,2025-12-08,1995,20,18
001-32921,10,8,0,8,False,['425' '8-K'],['business_combination_comms' 'current_report'],mixed,['NEXPOINT DIVERSIFIED REAL ESTATE TRUST'],NEXPOINT DIVERSIFIED REAL ESTATE TRUST,['0001356115'],0001356115,['NXDT' 'NXDT-PA'],2023-06-15,2025-05-09,694,3,7
001-32924,46,25,0,25,False,['425' '8-K'],['business_combination_comms' 'current_report'],mixed,['Green Plains Inc.'],Green Plains Inc.,['0001309402' '0001635650'],0001309402,['GPRE'],2020-02-10,2025-11-05,2095,31,15
001-32936,67,43,0,43,False,['8-K'],['current_report'],current_report,['HELIX ENERGY SOLUTIONS GROUP INC'],HELIX ENERGY SOLUTIONS GROUP INC,['0000866829'],0000866829,['HLX'],2020-07-23,2025-10-23,1918,60,7
001-32954,23,13,0,13,False,['425' '8-K'],['business_combination_comms' 'current_report'],mixed,"['CLEVELAND BIOLABS INC' 'Cytocom, Inc.' 'Statera Biopharma, Inc.']",CLEVELAND BIOLABS INC,['0001318641'],0001318641,['STAB'],2020-06-03,2022-11-15,895,15,8
001-32955,13,7,2,5,True,['8-K' '8-K/A'],['current_report' 'other'],mixed,['HOUSTON AMERICAN ENERGY CORP'],HOUSTON AMERICAN ENERGY CORP,['0001156041'],0001156041,['HUSA'],2025-01-23,2025-11-21,302,12,1
001-32959,1,1,0,1,False,['DEFM14A'],['merger_proxy'],merger_proxy,['Aircastle LTD'],Aircastle LTD,['0001362988'],0001362988,['AYR'],2020-01-23,2020-01-23,0,0,1
001-32961,3,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,"['CBIZ, Inc.']","CBIZ, Inc.",['0000944148'],0000944148,['CBZ'],2024-09-03,2024-09-17,14,1,2
001-32964,10,3,0,3,False,['425' 'DEFM14A'],['business_combination_comms' 'merger_proxy'],mixed,['FIRST OF LONG ISLAND CORP'],FIRST OF LONG ISLAND CORP,['0000712771' '0000740663'],0000712771,['FLIC'],2024-09-05,2024-12-31,117,8,2
001-32979,5,3,0,3,False,['8-K'],['current_report'],current_report,"['Molecular Templates, Inc.']","Molecular Templates, Inc.",['0001183765'],0001183765,['MTEM'],2023-06-20,2024-03-28,282,5,0
001-32982,3,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,['ATRION CORP'],ATRION CORP,['0000701288'],0000701288,[],2024-07-02,2024-07-15,13,1,2
001-32986,2,2,0,2,False,['8-K'],['current_report'],current_report,"['General Moly, Inc']","General Moly, Inc",['0001275229'],0001275229,[],2020-01-03,2020-11-20,322,2,0
001-32998,2,2,0,2,False,['8-K'],['current_report'],current_report,['Energy Services of America CORP'],Energy Services of America CORP,['0001357971'],0001357971,['ESOA'],2021-06-30,2021-10-13,105,0,2
001-33004,21,13,0,13,False,['425' '8-K' 'DEFM14A'],['business_combination_comms' 'current_report' 'merger_proxy'],mixed,['Acer Therapeutics Inc.'],Acer Therapeutics Inc.,['0001069308'],0001069308,[],2020-04-30,2023-11-08,1287,14,7
001-33013,20,18,0,18,False,['425' '8-K'],['business_combination_comms' 'current_report'],mixed,['FLUSHING FINANCIAL CORP'],FLUSHING FINANCIAL CORP,['0000923139' '0001004702'],0000923139,['FFIC'],2020-01-31,2025-12-31,2161,3,17
001-33026,9,5,0,5,False,['8-K'],['current_report'],current_report,['COMMVAULT SYSTEMS INC'],COMMVAULT SYSTEMS INC,['0001169561'],0001169561,['CVLT'],2020-04-06,2025-10-28,2031,6,3
001-33033,23,8,0,8,False,['425' 'DEFM14A'],['business_combination_comms' 'merger_proxy'],mixed,"['LIMESTONE BANCORP, INC.']","LIMESTONE BANCORP, INC.",['0000318300' '0001358356'],0000318300,[],2022-10-25,2023-02-10,108,15,8
001-33034,2,2,0,2,False,['8-K'],['current_report'],current_report,['Freedom Holding Corp.'],Freedom Holding Corp.,['0000924805'],0000924805,['FRHC'],2020-08-03,2020-12-29,148,0,2
001-33038,6,3,0,3,False,['8-K'],['current_report'],current_report,"['Alaunos Therapeutics, Inc.']","Alaunos Therapeutics, Inc.",['0001107421'],0001107421,['TCRT'],2025-04-14,2025-06-26,73,4,2
001-33057,1,1,0,1,False,['8-K'],['current_report'],current_report,"['CATALYST PHARMACEUTICALS, INC.']","CATALYST PHARMACEUTICALS, INC.",['0001369568'],0001369568,['CPRX'],2023-06-23,2023-06-23,0,1,0
001-33059,1,1,0,1,False,['8-K'],['current_report'],current_report,"['FUEL TECH, INC.']","FUEL TECH, INC.",['0000846913'],0000846913,['FTEK'],2021-02-18,2021-02-18,0,1,0
001-33071,29,25,1,24,True,['8-K' '8-K/A'],['current_report' 'other'],mixed,"['eHealth, Inc.']","eHealth, Inc.",['0001333493'],0001333493,['EHTH'],2021-01-29,2025-12-18,1784,27,2
001-33072,1,1,0,1,False,['8-K'],['current_report'],current_report,"['Leidos Holdings, Inc.']","Leidos Holdings, Inc.",['0001336920'],0001336920,['LDOS'],2020-02-04,2020-02-04,0,1,0
001-33089,17,15,0,15,False,['8-K'],['current_report'],current_report,"['ExlService Holdings, Inc.']","ExlService Holdings, Inc.",['0001297989'],0001297989,['EXLS'],2020-02-27,2023-02-23,1092,16,1
001-33092,10,7,0,7,False,['8-K'],['current_report'],current_report,['LEMAITRE VASCULAR INC'],LEMAITRE VASCULAR INC,['0001158895'],0001158895,['LMAT'],2024-12-16,2025-11-06,325,7,3
001-33093,44,33,2,31,True,['425' '8-K' '8-K/A'],['business_combination_comms' 'current_report' 'other'],mixed,['LIGAND PHARMACEUTICALS INC'],LIGAND PHARMACEUTICALS INC,['0000886163'],0000886163,['LGND' 'LGNDZ' 'LGNXZ' 'LGNYZ' 'LGNZZ'],2020-02-06,2025-11-06,2100,35,9
001-33105,2,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,"['Meet Group, Inc.']","Meet Group, Inc.",['0001078099'],0001078099,[],2020-04-02,2020-04-22,20,0,2
001-33117,2,2,0,2,False,['8-K'],['current_report'],current_report,"['Globalstar, Inc.']","Globalstar, Inc.",['0001366868'],0001366868,['GSAT'],2020-02-25,2023-05-05,1165,1,1
001-33118,3,3,0,3,False,['425' 'DEFM14A' 'PREM14A'],['business_combination_comms' 'merger_proxy'],mixed,['ORBCOMM Inc.'],ORBCOMM Inc.,['0001361983'],0001361983,[],2021-05-10,2021-07-08,59,0,3
001-33125,2,2,0,2,False,['8-K'],['current_report'],current_report,"['SILVER BULL RESOURCES, INC.']","SILVER BULL RESOURCES, INC.",['0001031093'],0001031093,['SVBL'],2020-11-02,2023-10-31,1093,2,0
001-33133,12,9,1,8,True,['8-K' '8-K/A' 'DEFM14A' 'PREM14A'],['current_report' 'merger_proxy' 'other'],mixed,"['YIELD10 BIOSCIENCE, INC.']","YIELD10 BIOSCIENCE, INC.",['0001121702'],0001121702,['YTEN'],2020-08-25,2024-10-16,1513,8,4
001-33135,53,37,0,37,False,['425' '8-K'],['business_combination_comms' 'current_report'],mixed,"['REGIONAL HEALTH PROPERTIES, INC']","REGIONAL HEALTH PROPERTIES, INC",['0001004724'],0001004724,['RHE' 'RHE-PA' 'RHEP' 'RHEPA' 'RHEPB'],2021-06-01,2025-08-05,1526,17,36
001-33137,15,13,1,12,True,['8-K' '8-K/A'],['current_report' 'other'],mixed,['Emergent BioSolutions Inc.'],Emergent BioSolutions Inc.,['0001367644'],0001367644,['EBS'],2020-08-07,2024-10-02,1517,15,0
001-33139,4,4,0,4,False,['8-K'],['current_report'],current_report,['HERC HOLDINGS INC'],HERC HOLDINGS INC,['0001364479'],0001364479,['HRI'],2022-08-31,2025-09-04,1100,4,0
001-33146,14,13,0,13,False,['8-K'],['current_report'],current_report,"['KBR, INC.']","KBR, INC.",['0001357615'],0001357615,['KBR'],2020-02-20,2025-02-24,1831,13,1
001-33160,31,22,0,22,False,['425' 'DEFM14A'],['business_combination_comms' 'merger_proxy'],mixed,"['Spirit AeroSystems Holdings, Inc.']","Spirit AeroSystems Holdings, Inc.",['0000012927' '0001364885'],0000012927,['SPR'],2024-07-01,2025-01-17,200,9,22
001-33164,3,3,0,3,False,['8-K' 'DEFM14A' 'PREM14A'],['current_report' 'merger_proxy'],mixed,['Domtar CORP'],Domtar CORP,['0001381531'],0001381531,[],2021-06-09,2023-03-01,630,1,2
001-33166,3,3,0,3,False,['8-K'],['current_report'],current_report,['Allegiant Travel CO'],Allegiant Travel CO,['0001362468'],0001362468,['ALGT'],2020-10-28,2021-10-06,343,3,0
001-33169,12,7,0,7,False,['8-K'],['current_report'],current_report,"['CREATIVE REALITIES, INC.']","CREATIVE REALITIES, INC.",['0001356093'],0001356093,['CREX'],2020-01-03,2025-11-12,2140,10,2
001-33170,9,7,0,7,False,['8-K'],['current_report'],current_report,['NETLIST INC'],NETLIST INC,['0001282631'],0001282631,['NLST'],2021-07-12,2025-10-07,1548,9,0
001-33174,3,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,"['CARROLS RESTAURANT GROUP, INC.']","CARROLS RESTAURANT GROUP, INC.",['0000809248'],0000809248,[],2024-03-04,2024-04-12,39,1,2
001-33177,39,27,0,27,False,['425' 'DEFM14A' 'PREM14A'],['business_combination_comms' 'merger_proxy'],mixed,['MONMOUTH REAL ESTATE INVESTMENT CORP'],MONMOUTH REAL ESTATE INVESTMENT CORP,['0000067625' '0000803649'],0000067625,[],2021-05-05,2021-12-21,230,12,27
001-33185,1,1,0,1,False,['8-K'],['current_report'],current_report,['MEDICINOVA INC'],MEDICINOVA INC,['0001226616'],0001226616,['MNOV'],2025-08-01,2025-08-01,0,1,0
001-33190,14,9,0,9,False,['8-K'],['current_report'],current_report,['McEwen Mining Inc.' 'McEwen Inc.'],McEwen Mining Inc.,['0000314203'],0000314203,['MQMNW' 'MUX'],2021-02-09,2025-11-07,1732,12,2
001-33202,30,20,0,20,False,['8-K'],['current_report'],current_report,"['Under Armour, Inc.']","Under Armour, Inc.",['0001336917'],0001336917,['UA' 'UAA'],2020-05-12,2025-06-16,1861,26,4
001-33209,4,3,1,2,True,['8-K/A' 'DEFM14A' 'PREM14A'],['merger_proxy' 'other'],mixed,['Altra Industrial Motion Corp.'],Altra Industrial Motion Corp.,['0001374535'],0001374535,[],2022-03-11,2022-12-14,278,2,2
001-33221,37,30,0,30,False,['8-K'],['current_report'],current_report,"['HERON THERAPEUTICS, INC. /DE/']","HERON THERAPEUTICS, INC. /DE/",['0000818033'],0000818033,['HRTX'],2020-03-02,2025-11-04,2073,33,4
001-33225,1,1,0,1,False,['8-K'],['current_report'],current_report,['Great Lakes Dredge & Dock CORP'],Great Lakes Dredge & Dock CORP,['0001372020'],0001372020,['GLDD'],2021-05-25,2021-05-25,0,1,0
001-33250,1,1,0,1,False,['425'],['business_combination_comms'],business_combination_comms,['VSB BANCORP INC'],VSB BANCORP INC,['0001225874' '0001493225'],0001225874,[],2020-01-15,2020-01-15,0,0,1
001-33260,6,5,0,5,False,['425' '8-K' 'DEFM14A'],['business_combination_comms' 'current_report' 'merger_proxy'],mixed,['TE Connectivity Ltd.' 'TE Connectivity plc'],TE Connectivity Ltd.,['0001385157'],0001385157,['TEL'],2024-03-14,2025-01-31,323,2,4
001-33261,26,12,1,11,True,['425' '8-K' '8-K/A'],['business_combination_comms' 'current_report' 'other'],mixed,['AeroVironment Inc'],AeroVironment Inc,['0001368622'],0001368622,['AVAV'],2023-08-22,2025-12-10,841,18,8
001-33264,9,4,0,4,False,['8-K'],['current_report'],current_report,"['U.S. Auto Parts Network, Inc.' 'CarParts.com, Inc.']","U.S. Auto Parts Network, Inc.",['0001378950'],0001378950,['PRTS'],2020-03-09,2025-11-10,2072,7,2
001-33274,3,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,['TravelCenters of America Inc. /MD/'],TravelCenters of America Inc. /MD/,['0001378453'],0001378453,[],2023-03-22,2023-04-03,12,1,2
001-33277,6,3,0,3,False,['8-K'],['current_report'],current_report,"['MADRIGAL PHARMACEUTICALS, INC.']","MADRIGAL PHARMACEUTICALS, INC.",['0001157601'],0001157601,['MDGL'],2022-12-23,2023-10-02,283,5,1
001-33278,2,2,0,2,False,['8-K'],['current_report'],current_report,"['AVIAT NETWORKS, INC.']","AVIAT NETWORKS, INC.",['0001377789'],0001377789,['AVNW'],2020-03-04,2020-08-31,180,2,0
001-33288,3,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,['HAYNES INTERNATIONAL INC'],HAYNES INTERNATIONAL INC,['0000858655'],0000858655,['HAYN'],2024-03-05,2024-03-18,13,1,2
001-33289,3,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,['Enstar Group LTD'],Enstar Group LTD,['0001363829'],0001363829,['ESGR' 'ESGRO' 'ESGRP'],2024-09-04,2024-10-11,37,1,2
001-33292,41,32,1,31,True,['8-K' '8-K/A' 'DEFM14A' 'PREM14A'],['current_report' 'merger_proxy' 'other'],mixed,"['CorEnergy Infrastructure Trust, Inc.']","CorEnergy Infrastructure Trust, Inc.",['0001347652'],0001347652,[],2020-02-26,2024-04-17,1512,34,7
001-33296,2,2,0,2,False,['8-K'],['current_report'],current_report,"['National CineMedia, Inc.']","National CineMedia, Inc.",['0001377630'],0001377630,['NCMI'],2023-08-03,2025-03-13,588,1,1
001-33301,16,7,0,7,False,['8-K'],['current_report'],current_report,['ACCURAY INC'],ACCURAY INC,['0001138723'],0001138723,['ARAY'],2021-05-12,2025-11-19,1652,13,3
001-33307,5,2,0,2,False,['425'],['business_combination_comms'],business_combination_comms,"['RadNet, Inc.']","RadNet, Inc.",['0000790526'],0000790526,['RDNT'],2025-04-15,2025-05-12,27,3,2
001-33326,35,35,0,35,False,['425' 'DEFM14A'],['business_combination_comms' 'merger_proxy'],mixed,"[""People's United Financial, Inc.""]","People's United Financial, Inc.",['0000036270' '0001378946'],0000036270,[],2021-02-22,2021-05-18,85,0,35
001-33338,30,21,0,21,False,['8-K'],['current_report'],current_report,['AMERICAN EAGLE OUTFITTERS INC'],AMERICAN EAGLE OUTFITTERS INC,['0000919012'],0000919012,['AEO'],2020-04-22,2024-03-07,1415,24,6
001-33346,3,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,"['Summer Infant, Inc.']","Summer Infant, Inc.",['0001314772'],0001314772,[],2022-04-08,2022-05-16,38,1,2
001-33351,3,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,"['NeuroMetrix, Inc.']","NeuroMetrix, Inc.",['0001289850'],0001289850,['NURO'],2025-01-30,2025-02-14,15,1,2
